id,output,visibility
14591,0-9-3,public
14592,1-8-0,private
14593,0-5-0,public
14594,0-8-3,private
14595,0-9-1,private
14596,0-8-0,public
14597,0-7-0,public
14598,1-8-4,private
14599,1-9-0,private
14600,1-9-0,private
14601,0-9-3,private
14602,1-7-1,private
14603,1-4-1,private
14604,1-8-3,private
14605,1-8-3,public
14606,0-5-4,public
14607,0-4-4,private
14608,1-8-2,public
14609,0-9-2,private
14610,0-8-3,private
14611,1-8-2,private
14612,0-5-1,private
14613,1-9-1,public
14614,0-5-3,private
14615,1-7-0,private
14616,1-8-2,public
14617,0-7-2,private
14618,1-8-1,private
14619,1-7-1,public
14620,0-6-3,public
14621,0-8-3,private
14622,1-8-0,private
14623,0-5-3,private
14624,1-9-3,private
14625,0-8-1,private
14626,0-9-3,public
14627,0-8-4,private
14628,0-9-3,private
14629,1-9-0,private
14630,1-3-2,public
14631,0-5-1,public
14632,1-8-0,private
14633,0-8-3,public
14634,0-4-4,public
14635,1-5-2,private
14636,0-3-4,private
14637,0-6-2,private
14638,0-7-0,private
14639,0-8-0,private
14640,0-3-2,public
14641,0-8-1,private
14642,0-8-2,private
14643,1-8-1,public
14644,1-8-2,public
14645,0-9-3,public
14646,0-8-3,public
14647,0-8-2,private
14648,0-8-4,private
14649,1-9-4,public
14650,1-9-2,private
14651,0-8-0,private
14652,1-8-4,public
14653,1-8-1,private
14654,1-9-3,private
14655,0-7-2,private
14656,0-9-2,private
14657,1-8-1,private
14658,0-8-0,private
14659,1-6-3,private
14660,0-7-4,private
14661,0-8-1,private
14662,0-8-4,private
14663,0-8-1,private
14664,1-9-0,private
14665,0-8-4,private
14666,0-7-0,private
14667,0-8-3,private
14668,0-7-4,private
14669,0-6-2,private
14670,1-7-2,private
14671,1-9-4,public
14672,1-8-0,private
14673,1-8-0,private
14674,0-8-1,public
14675,1-9-1,private
14676,1-9-3,private
14677,1-7-3,public
14678,0-9-1,private
14679,1-8-4,public
14680,0-8-4,private
14681,0-5-1,private
14682,0-9-3,public
14683,0-8-4,private
14684,1-8-2,public
14685,1-7-4,private
14686,0-7-2,private
14687,1-8-3,private
14688,1-8-1,private
14689,0-5-3,public
14690,1-9-2,private
14691,0-8-3,public
14692,0-4-1,public
14693,0-7-0,private
14694,1-8-3,private
14695,1-7-2,private
14696,0-8-2,private
14697,0-8-2,private
14698,0-9-2,public
14699,0-6-2,public
14700,1-5-0,private
14701,0-7-0,private
14702,1-5-2,private
14703,0-8-3,private
14704,0-7-3,private
14705,0-3-3,private
14706,0-8-0,private
14707,0-8-1,private
14708,0-7-1,private
14709,1-9-4,private
14710,0-8-2,private
14711,1-8-4,private
14712,0-8-4,private
14713,0-8-4,private
14714,1-8-0,private
14715,1-8-3,private
14716,0-8-2,public
14717,0-8-0,private
14718,1-8-1,private
14719,0-7-1,private
14720,0-7-4,public
14721,1-8-0,public
14722,0-8-3,private
14723,0-7-4,public
14724,1-8-4,private
14725,1-7-2,private
14726,0-7-4,private
14727,1-7-0,private
14728,0-8-4,private
14729,1-8-2,private
14730,0-8-4,public
14731,0-7-2,private
14732,1-9-0,private
14733,0-5-2,public
14734,1-9-2,private
14735,1-8-0,private
14736,0-7-2,private
14737,1-8-2,private
14738,1-8-0,private
14739,0-8-4,private
14740,0-8-3,private
14741,1-8-3,private
14742,0-8-1,private
14743,1-9-1,public
14744,1-8-3,private
14745,0-7-1,public
14746,0-4-2,public
14747,1-8-4,private
14748,0-5-0,public
14749,1-8-0,private
14750,1-8-3,private
14751,1-3-0,private
14752,0-8-4,public
14753,0-5-1,private
14754,1-7-2,public
14755,1-8-0,public
14756,1-7-1,private
14757,0-8-2,private
14758,0-7-2,private
14759,1-5-2,private
14760,0-8-4,private
14761,0-8-1,public
14762,0-8-0,private
14763,1-5-2,private
14764,0-8-0,private
14765,1-9-3,public
14766,1-8-0,public
14767,1-8-3,private
14768,1-8-4,private
14769,1-7-2,private
14770,0-9-1,private
14771,1-8-4,private
14772,0-8-4,private
14773,1-7-4,private
14774,0-9-4,private
14775,1-8-2,private
14776,0-5-4,private
14777,0-7-3,private
14778,1-9-0,private
14779,0-8-1,public
14780,1-8-0,private
14781,1-6-2,public
14782,0-8-2,private
14783,1-8-3,public
14784,0-8-2,private
14785,1-5-4,private
14786,1-8-1,private
14787,0-8-1,private
14788,1-5-4,private
14789,0-8-4,public
14790,1-5-1,private
14791,1-8-4,public
14792,0-7-0,private
14793,0-7-2,public
14794,1-8-2,private
14795,1-2-4,private
14796,0-7-3,private
14797,1-8-1,public
14798,0-7-4,private
14799,1-9-4,private
14800,0-8-1,private
14801,1-7-1,private
14802,0-9-0,private
14803,1-8-4,private
14804,0-8-3,private
14805,0-7-0,public
14806,1-8-1,private
14807,1-9-1,private
14808,1-8-1,private
14809,0-8-0,private
14810,1-9-4,private
14811,0-5-4,private
14812,1-8-0,private
14813,1-9-4,public
14814,0-5-2,public
14815,1-8-2,public
14816,0-7-1,public
14817,1-8-3,private
14818,1-8-0,private
14819,0-8-1,public
14820,1-3-3,private
14821,0-8-2,public
14822,0-8-3,private
14823,0-8-4,private
14824,0-8-3,private
14825,1-9-1,private
14826,0-5-1,public
14827,0-7-1,private
14828,1-8-2,private
14829,0-8-0,private
14830,1-8-4,private
14831,1-6-3,private
14832,1-9-0,private
14833,1-6-4,private
14834,0-7-0,private
14835,0-9-0,public
14836,1-4-2,private
14837,1-5-1,public
14838,1-9-3,private
14839,1-9-4,private
14840,1-5-1,private
14841,0-7-2,public
14842,0-8-1,private
14843,0-9-1,private
14844,0-7-2,public
14845,1-7-2,private
14846,1-8-4,private
14847,0-8-1,private
14848,1-5-3,private
14849,0-3-4,private
14850,1-8-2,private
14851,0-8-2,public
14852,1-8-3,private
14853,0-9-1,private
14854,0-8-2,private
14855,1-8-1,public
14856,1-9-3,private
14857,0-8-4,private
14858,0-8-1,private
14859,1-8-0,private
14860,0-5-3,private
14861,0-8-3,public
14862,0-5-3,private
14863,0-8-2,private
14864,0-8-0,private
14865,0-8-3,private
14866,0-3-4,private
14867,0-8-2,private
14868,1-9-2,public
14869,1-9-1,private
14870,1-8-1,private
14871,0-9-0,public
14872,1-7-4,private
14873,1-5-4,private
14874,1-8-2,private
14875,1-7-2,private
14876,0-7-4,public
14877,1-9-1,private
14878,0-8-2,public
14879,0-5-2,private
14880,1-6-0,private
14881,1-5-0,private
14882,1-8-2,public
14883,0-7-4,private
14884,1-9-1,private
14885,1-3-3,private
14886,1-4-3,private
14887,1-8-4,private
14888,1-8-4,public
14889,0-8-1,public
14890,1-8-1,private
14891,0-8-0,public
14892,0-8-0,private
14893,0-8-1,private
14894,1-8-0,private
14895,0-8-0,private
14896,0-8-0,private
14897,1-5-2,private
14898,1-8-2,public
14899,0-8-2,private
14900,0-8-0,private
14901,0-8-4,private
14902,1-8-1,private
14903,1-8-4,private
14904,1-8-2,public
14905,1-8-4,public
14906,0-6-4,public
14907,1-5-3,public
14908,1-7-2,private
14909,1-8-4,private
14910,0-8-1,public
14911,1-8-2,private
14912,1-8-2,private
14913,1-5-1,private
14914,0-4-3,public
14915,0-8-0,private
14916,1-9-4,private
14917,1-7-0,private
14918,1-5-3,public
14919,0-7-0,private
14920,0-8-0,private
14921,0-9-2,private
14922,1-8-3,private
14923,0-7-3,public
14924,0-8-1,public
14925,0-9-4,private
14926,0-8-1,public
14927,0-5-3,private
14928,1-8-1,private
14929,0-5-0,private
14930,0-7-0,private
14931,0-8-2,private
14932,1-8-1,public
14933,0-8-4,public
14934,1-7-2,private
14935,0-8-0,private
14936,1-5-2,private
14937,0-9-0,public
14938,0-5-0,private
14939,1-8-0,public
14940,0-8-4,public
14941,0-8-2,private
14942,1-5-3,private
14943,1-8-1,private
14944,1-7-0,private
14945,1-8-3,private
14946,1-4-1,public
14947,1-9-2,public
14948,0-8-3,private
14949,0-5-3,private
14950,0-8-4,private
14951,0-5-4,private
14952,1-9-1,private
14953,0-8-0,private
14954,1-9-2,public
14955,0-9-3,private
14956,1-8-2,private
14957,1-8-3,private
14958,1-8-4,private
14959,1-6-0,private
14960,1-6-0,public
14961,0-3-3,private
14962,0-8-2,private
14963,1-6-1,public
14964,0-6-4,private
14965,0-7-3,private
14966,1-8-2,public
14967,1-9-1,private
14968,1-8-4,private
14969,1-3-2,private
14970,1-8-2,public
14971,1-5-3,private
14972,1-9-3,private
14973,0-5-1,private
14974,0-8-0,private
14975,1-8-3,private
14976,0-8-0,private
14977,0-7-2,public
14978,0-7-4,private
14979,1-8-2,private
14980,0-4-0,private
14981,0-7-0,private
14982,0-7-4,private
14983,1-2-1,public
14984,0-7-2,public
14985,1-5-3,public
14986,1-6-1,private
14987,1-8-4,public
14988,0-8-3,private
14989,1-9-4,private
14990,1-8-1,public
14991,1-5-0,public
14992,1-8-1,private
14993,0-5-3,private
14994,1-8-0,private
14995,1-5-2,public
14996,1-5-1,private
14997,0-7-2,private
14998,1-8-4,private
14999,0-8-0,private
15000,1-8-2,private
15001,1-7-1,private
15002,0-8-2,public
15003,1-5-2,public
15004,1-8-4,public
15005,0-9-0,private
15006,0-3-3,private
15007,0-9-4,private
15008,0-3-2,private
15009,0-5-0,private
15010,1-8-2,public
15011,0-9-1,private
15012,0-8-2,private
15013,1-9-2,private
15014,1-8-1,private
15015,1-7-3,public
15016,1-8-2,public
15017,1-8-1,private
15018,1-8-3,public
15019,1-8-1,public
15020,0-8-0,public
15021,0-7-4,private
15022,0-7-2,public
15023,1-5-2,private
15024,0-8-1,private
15025,1-8-0,private
15026,0-1-1,public
15027,1-9-0,private
15028,0-8-2,public
15029,0-8-4,private
15030,0-8-3,private
15031,0-8-1,private
15032,0-8-2,public
15033,0-7-0,private
15034,1-8-1,public
15035,0-9-4,public
15036,0-9-0,private
15037,1-8-0,public
15038,0-8-4,public
15039,0-5-3,private
15040,1-7-4,private
15041,1-6-4,private
15042,1-4-1,private
15043,1-9-0,public
15044,0-9-1,private
15045,0-5-2,private
15046,0-8-2,private
15047,1-8-1,public
15048,1-3-0,private
15049,0-8-4,public
15050,1-9-2,private
15051,1-9-0,private
15052,0-8-2,private
15053,1-6-4,private
15054,0-7-3,private
15055,1-8-2,private
15056,1-8-2,private
15057,1-8-3,private
15058,1-8-2,private
15059,1-9-2,private
