id,input_tokens,feat_1,feat_2,feat_3,priority,output
6994,T_23 T_31 T_13 T_24 T_25,-0.631,88.83,4.747,3,1-7-2
6995,T_07 T_01 T_18 T_17 T_35 T_20,-0.298,48.25,0.183,2,0-9-4
6996,T_36 T_13 T_29 T_31 T_16,0.769,82.35,1.06,5,1-8-0
6997,T_20 T_10 T_08 T_01 T_24 T_25,-0.527,84.02,1.252,3,1-9-2
6998,T_08 T_39 T_16 T_26 T_15,-0.005,82.43,1.163,1,1-5-0
6999,T_31 T_07 T_00 T_20 T_37,0.399,72.22,1.962,5,0-9-0
7000,T_33 T_31 T_09 T_38 T_23,0.785,85.49,0.373,2,0-8-1
7001,T_02 T_21 T_18 T_23 T_06,-1.778,38.72,4.027,2,0-8-3
7002,T_20 T_05 T_02 T_13 T_10 T_34,0.715,11.47,1.605,4,0-9-2
7003,T_05 T_23 T_16 T_11 T_18,-0.234,84.25,4.691,5,0-8-4
7004,T_16 T_36 T_32 T_14 T_22 T_11,0.707,49.82,0.005,2,1-8-3
7005,T_28 T_10 T_15 T_05 T_18,0.777,12.74,1.988,3,0-8-4
7006,T_17 T_32 T_27 T_39 T_25,1.608,11.53,1.064,2,1-6-2
7007,T_08 T_02 T_10 T_06 T_21 T_20,1.353,15.92,1.407,2,0-9-4
7008,T_05 T_39 T_06 T_21 T_28 T_15,1.347,75.1,2.724,2,0-5-4
7009,T_27 T_39 T_22 T_09 T_01 T_34,1.444,71.09,0.515,4,1-5-0
7010,T_11 T_31 T_06 T_21 T_14 T_38,0.291,20.38,0.459,1,1-8-4
7011,T_30 T_03 T_06 T_04 T_22,0.032,84.69,2.428,2,1-3-3
7012,T_36 T_00 T_12 T_33 T_09,0.873,28.13,1.474,1,0-8-2
7013,T_04 T_14 T_38 T_29 T_32,0.732,79.3,0.532,5,0-8-2
7014,T_37 T_10 T_32 T_38 T_09,-0.309,48.88,1.323,1,0-8-2
7015,T_24 T_03 T_27 T_13 T_38,0.405,73.15,1.231,5,1-8-2
7016,T_34 T_01 T_29 T_10 T_32 T_05,-0.035,38.14,2.352,4,0-8-3
7017,T_01 T_19 T_33 T_28 T_23 T_15,-0.854,34.71,0.005,5,0-5-3
7018,T_36 T_00 T_30 T_17 T_05 T_12,1.29,84.14,1.767,5,0-8-4
7019,T_35 T_23 T_05 T_20 T_30,0.055,3.53,1.861,3,0-9-3
7020,T_00 T_06 T_12 T_34 T_37,2.049,97.47,2.737,4,0-7-1
7021,T_10 T_01 T_06 T_38 T_36,-1.625,64.82,4.401,2,0-8-2
7022,T_36 T_04 T_01 T_06 T_19 T_37,-0.557,43.25,1.16,4,0-8-0
7023,T_11 T_03 T_29 T_33 T_24 T_21,0.033,62.81,0.839,3,0-8-2
7024,T_04 T_32 T_17 T_06 T_27,1.137,12.27,0.216,5,0-5-1
7025,T_02 T_26 T_34 T_01 T_04,0.399,51.41,0.821,4,0-4-4
7026,T_33 T_18 T_10 T_05 T_26 T_24,0.31,98.51,0.142,3,0-8-1
7027,T_13 T_01 T_06 T_23 T_39 T_30,-1.127,23.53,3.247,2,1-3-4
7028,T_21 T_18 T_06 T_39 T_30,-1.157,72.23,3.29,5,1-8-2
7029,T_37 T_00 T_26 T_31 T_38,0.323,43.5,1.08,4,1-8-4
7030,T_05 T_19 T_04 T_26 T_11,-1.364,65.25,0.601,4,1-7-0
7031,T_05 T_26 T_35 T_10 T_09 T_14,-0.532,20.49,0.251,5,0-4-4
7032,T_22 T_39 T_26 T_38 T_25,0.501,47.05,3.811,4,0-8-2
7033,T_39 T_09 T_19 T_20 T_37 T_21,-0.982,98.01,4.199,5,0-9-3
7034,T_03 T_21 T_38 T_19 T_02,1.605,19.53,0.619,3,0-8-3
7035,T_21 T_18 T_02 T_11 T_06 T_08,1.224,63.64,1.944,5,0-8-3
7036,T_05 T_18 T_16 T_27 T_00,-1.571,57.56,0.599,2,1-8-2
7037,T_35 T_17 T_03 T_15 T_31,-0.932,56.51,0.51,5,0-5-1
7038,T_05 T_08 T_07 T_10 T_03 T_00,-2.286,61.51,0.043,4,0-3-0
7039,T_25 T_33 T_39 T_15 T_36,-0.783,50.22,1.722,5,1-8-3
7040,T_32 T_38 T_11 T_28 T_08,0.766,1.69,0.325,5,1-8-0
7041,T_39 T_05 T_25 T_10 T_03 T_08,-0.414,90.01,0.025,5,1-6-0
7042,T_26 T_27 T_38 T_33 T_00,0.461,82.7,0.222,2,1-8-0
7043,T_38 T_30 T_14 T_16 T_00 T_01,-1.522,17.42,0.753,2,1-8-1
7044,T_04 T_00 T_17 T_35 T_08 T_31,0.798,41.33,2.212,4,0-5-1
7045,T_22 T_07 T_03 T_24 T_34,-0.555,77.05,0.453,4,0-7-4
7046,T_14 T_36 T_35 T_09 T_39,0.012,98.01,4.371,5,1-8-2
7047,T_35 T_19 T_21 T_26 T_09 T_13,-0.093,95.11,0.681,1,0-4-1
7048,T_39 T_24 T_37 T_12 T_01 T_30,-1.272,89.94,0.805,3,0-7-1
7049,T_08 T_15 T_00 T_06 T_31,-1.153,15.84,0.492,5,1-5-3
7050,T_20 T_02 T_18 T_17 T_15,0.968,91.45,0.586,3,1-9-1
7051,T_37 T_29 T_14 T_03 T_16 T_09,0.399,87.84,0.154,2,1-8-4
7052,T_08 T_26 T_19 T_04 T_06 T_17,1.05,37.69,0.698,4,0-4-0
7053,T_21 T_29 T_36 T_06 T_09,0.325,39.45,3.927,1,0-8-4
7054,T_17 T_32 T_34 T_12 T_25,0.143,45.99,2.332,4,1-7-0
7055,T_19 T_26 T_18 T_34 T_05,-1.726,65.62,4.163,2,0-8-2
7056,T_13 T_10 T_29 T_12 T_28,-0.27,26.08,0.222,5,1-8-3
7057,T_02 T_04 T_14 T_33 T_03 T_06,-0.027,2.29,1.216,2,0-3-2
7058,T_25 T_16 T_19 T_21 T_03 T_22,1.953,14.12,0.521,1,1-6-3
7059,T_29 T_14 T_00 T_32 T_38,0.687,44.01,2.555,5,1-8-1
7060,T_18 T_16 T_28 T_08 T_38,1.536,28.2,7.029,5,0-8-2
7061,T_35 T_04 T_33 T_00 T_01 T_27,0.598,76.45,3.379,1,0-5-2
7062,T_38 T_33 T_12 T_39 T_28 T_05,-0.711,10.67,0.072,4,1-8-1
7063,T_39 T_28 T_25 T_08 T_34,0.117,91.75,0.762,5,1-6-0
7064,T_11 T_13 T_00 T_39 T_20 T_08,0.236,89.53,0.058,4,0-9-2
7065,T_11 T_22 T_39 T_07 T_18 T_01,-0.939,90.88,0.082,3,0-8-0
7066,T_08 T_19 T_36 T_05 T_10 T_02,-0.384,73.96,0.166,1,1-8-4
7067,T_03 T_11 T_22 T_31 T_39 T_13,-0.206,10.7,0.647,3,0-7-2
7068,T_31 T_11 T_22 T_29 T_23,1.606,43.81,0.725,5,1-8-4
7069,T_38 T_20 T_37 T_10 T_29,-2.081,13.14,1.023,1,1-9-2
7070,T_30 T_31 T_01 T_36 T_24 T_33,1.206,98.77,1.038,5,1-8-1
7071,T_27 T_18 T_17 T_06 T_37 T_25,-0.937,33.3,2.952,1,1-8-2
7072,T_09 T_21 T_38 T_32 T_33 T_23,-1.372,58.53,0.305,4,1-8-2
7073,T_12 T_21 T_07 T_25 T_31 T_17,1.18,77.94,0.343,2,1-7-3
7074,T_25 T_01 T_23 T_36 T_24 T_33,0.732,92.06,1.97,2,1-8-0
7075,T_19 T_15 T_32 T_25 T_01,1.255,75.55,1.696,1,1-6-0
7076,T_34 T_20 T_29 T_05 T_37 T_04,0.801,67.45,0.334,3,1-9-1
7077,T_13 T_12 T_20 T_11 T_36,2.06,46.6,3.825,1,0-9-1
7078,T_27 T_00 T_32 T_08 T_21 T_36,0.559,60.54,0.798,4,0-8-2
7079,T_21 T_38 T_19 T_20 T_22 T_36,-0.156,9.42,0.914,3,0-9-3
7080,T_32 T_22 T_13 T_36 T_27 T_26,0.343,88.39,1.091,1,1-8-1
7081,T_24 T_37 T_27 T_39 T_28,1.243,54.38,0.779,1,1-7-4
7082,T_14 T_00 T_23 T_01 T_18 T_15,-0.779,4.01,1.63,5,0-8-2
7083,T_19 T_31 T_14 T_09 T_30,-0.652,91.99,0.984,4,1-5-4
7084,T_14 T_10 T_00 T_25 T_34 T_08,-0.309,48.93,0.601,4,1-6-0
7085,T_02 T_22 T_32 T_29 T_07,-2.105,86.86,4.697,2,1-8-0
7086,T_26 T_13 T_29 T_23 T_38 T_17,0.138,85.69,0.737,5,1-8-0
7087,T_04 T_21 T_07 T_39 T_06,-1.886,81.58,2.398,3,1-3-1
7088,T_33 T_18 T_37 T_15 T_32 T_19,0.053,6.14,0.853,2,1-8-1
7089,T_28 T_22 T_35 T_07 T_04,0.865,24.71,1.143,4,1-1-1
7090,T_19 T_17 T_21 T_32 T_28 T_27,-0.477,87.55,0.538,1,0-5-4
7091,T_07 T_26 T_08 T_11 T_00 T_13,1.677,89.9,2.791,5,1-7-4
7092,T_30 T_01 T_28 T_39 T_25 T_14,-1.461,45.81,2.673,4,0-6-1
7093,T_38 T_23 T_37 T_15 T_19,1.191,44.0,0.045,4,0-8-1
7094,T_20 T_16 T_13 T_30 T_37 T_25,0.675,17.51,0.124,5,1-9-1
7095,T_36 T_34 T_13 T_30 T_15,-1.716,96.84,5.112,4,0-8-0
7096,T_22 T_28 T_31 T_10 T_16,2.711,21.31,4.393,2,1-5-0
7097,T_06 T_01 T_28 T_15 T_25 T_08,-0.064,19.09,1.411,5,0-6-3
7098,T_30 T_34 T_12 T_05 T_01 T_20,-0.877,66.07,1.36,4,1-9-1
7099,T_02 T_29 T_17 T_18 T_36,-1.407,24.28,3.347,4,0-8-3
7100,T_35 T_22 T_06 T_02 T_29,-0.22,93.88,0.298,5,0-8-1
7101,T_24 T_22 T_04 T_34 T_00,-0.127,1.09,2.121,1,1-7-1
7102,T_03 T_04 T_32 T_39 T_13,0.103,0.58,1.292,3,1-3-2
7103,T_36 T_04 T_13 T_09 T_38,-0.298,50.49,2.72,5,0-8-3
7104,T_39 T_00 T_17 T_18 T_13 T_25,0.633,48.81,0.061,1,1-8-3
7105,T_01 T_18 T_06 T_17 T_09 T_07,-0.388,16.34,1.797,4,1-8-4
7106,T_04 T_35 T_07 T_13 T_26,-1.935,49.45,1.627,2,1-4-3
7107,T_32 T_30 T_14 T_26 T_28,-0.149,41.17,3.676,4,1-4-3
7108,T_36 T_08 T_38 T_26 T_04 T_14,-2.367,89.03,2.259,4,0-8-3
7109,T_20 T_37 T_19 T_17 T_26 T_09,0.354,0.93,4.243,1,0-9-2
7110,T_23 T_21 T_19 T_31 T_01 T_38,-0.979,97.63,4.366,5,1-8-1
7111,T_15 T_19 T_20 T_37 T_06 T_14,0.163,62.44,1.049,3,0-9-2
7112,T_20 T_04 T_26 T_23 T_01,1.314,15.18,0.296,3,1-9-2
7113,T_34 T_02 T_08 T_13 T_20 T_31,-0.949,4.68,1.99,5,1-9-1
7114,T_28 T_15 T_04 T_17 T_30,1.061,53.81,4.139,5,1-5-4
7115,T_20 T_06 T_01 T_32 T_19 T_13,-0.433,23.49,0.156,2,0-9-3
7116,T_28 T_24 T_35 T_02 T_17,1.753,30.12,1.633,5,1-7-2
7117,T_13 T_12 T_24 T_05 T_03 T_25,-0.365,24.51,0.244,2,0-7-4
7118,T_09 T_01 T_33 T_32 T_20 T_31,-0.84,65.02,0.055,5,0-9-2
7119,T_31 T_04 T_26 T_37 T_38,0.687,55.35,2.277,2,0-8-0
7120,T_01 T_09 T_16 T_36 T_05 T_38,-0.436,7.8,2.29,5,0-8-3
7121,T_30 T_14 T_10 T_12 T_17 T_23,-0.841,52.65,1.836,5,0-7-4
7122,T_08 T_24 T_07 T_18 T_06,-0.478,79.12,3.921,3,0-8-1
7123,T_31 T_05 T_36 T_27 T_12,-0.045,8.12,0.169,4,1-8-1
7124,T_03 T_18 T_26 T_17 T_20,1.342,88.97,0.222,4,1-9-4
7125,T_15 T_34 T_37 T_10 T_11,-1.934,57.83,3.998,2,1-7-4
7126,T_16 T_14 T_27 T_20 T_23 T_01,0.023,95.06,1.399,1,1-9-0
7127,T_19 T_32 T_06 T_05 T_25,0.625,14.81,0.638,3,1-6-1
7128,T_18 T_32 T_03 T_16 T_01,0.193,99.36,2.68,5,1-8-2
7129,T_13 T_08 T_29 T_34 T_24 T_04,1.31,64.43,4.496,3,1-8-1
7130,T_08 T_03 T_16 T_19 T_29,-0.074,56.75,2.34,1,0-8-4
7131,T_11 T_13 T_02 T_19 T_32 T_08,-0.185,51.53,3.14,3,1-7-2
7132,T_19 T_00 T_22 T_21 T_24 T_07,0.592,2.37,0.664,1,1-7-3
7133,T_28 T_11 T_08 T_30 T_37 T_36,0.099,93.96,0.682,1,0-8-3
7134,T_15 T_05 T_20 T_24 T_26 T_01,-0.39,64.4,3.992,1,1-9-1
7135,T_30 T_08 T_18 T_21 T_12 T_03,0.516,9.16,1.908,1,1-8-0
7136,T_22 T_32 T_04 T_34 T_09,-0.653,2.1,0.534,1,0-4-1
7137,T_13 T_05 T_27 T_07 T_09 T_25,-0.611,5.08,1.485,5,0-6-3
7138,T_09 T_03 T_24 T_16 T_14,-0.528,60.94,2.316,3,1-7-0
7139,T_00 T_11 T_17 T_25 T_04,1.353,61.4,0.493,4,1-7-1
7140,T_01 T_26 T_30 T_16 T_35,-3.221,49.97,2.128,4,1-5-0
7141,T_32 T_03 T_15 T_13 T_19,0.396,30.68,0.086,5,1-5-1
7142,T_38 T_06 T_35 T_01 T_11 T_33,0.034,53.17,0.724,2,0-8-3
7143,T_10 T_02 T_21 T_13 T_25 T_15,-1.681,51.63,2.242,1,1-6-1
7144,T_14 T_39 T_17 T_20 T_12 T_09,0.31,1.94,0.324,3,0-9-4
7145,T_33 T_38 T_34 T_23 T_03,0.476,28.25,0.503,1,1-8-1
7146,T_34 T_33 T_11 T_14 T_36 T_31,0.59,5.32,4.225,1,1-8-1
7147,T_03 T_23 T_27 T_05 T_02 T_17,-2.652,90.02,2.244,4,1-5-3
7148,T_30 T_32 T_31 T_04 T_17,1.366,72.52,1.382,1,1-5-4
7149,T_13 T_30 T_12 T_06 T_09,-0.738,99.61,0.474,3,0-7-1
7150,T_22 T_07 T_05 T_31 T_09 T_36,0.687,30.22,0.835,3,0-8-2
7151,T_22 T_30 T_16 T_17 T_00 T_19,0.741,87.85,1.708,4,0-5-0
7152,T_16 T_34 T_12 T_05 T_32,-0.877,60.31,0.338,5,1-7-2
7153,T_28 T_05 T_02 T_25 T_32,0.66,45.31,1.315,4,0-6-2
7154,T_16 T_10 T_33 T_36 T_04,-0.385,22.26,1.052,4,1-8-2
7155,T_19 T_14 T_23 T_31 T_22 T_10,-2.071,73.84,1.295,1,0-5-3
7156,T_23 T_17 T_29 T_24 T_35,1.168,90.41,0.223,2,1-8-2
7157,T_30 T_15 T_27 T_33 T_04,-0.775,23.53,0.225,5,1-5-4
7158,T_29 T_15 T_09 T_00 T_21 T_17,-0.854,17.54,6.655,5,1-8-4
7159,T_26 T_10 T_38 T_18 T_37,-0.403,69.62,7.762,5,1-8-0
7160,T_37 T_35 T_01 T_15 T_12 T_32,0.272,97.7,1.111,1,0-7-2
7161,T_12 T_28 T_06 T_02 T_14,-0.057,75.0,3.112,4,1-7-3
7162,T_33 T_34 T_26 T_09 T_23,0.548,28.46,2.133,1,1-4-4
7163,T_30 T_16 T_14 T_38 T_26,-1.339,42.0,0.249,3,0-8-0
7164,T_16 T_17 T_23 T_06 T_30,-0.742,38.43,0.704,2,1-5-0
7165,T_39 T_09 T_17 T_03 T_08 T_34,-0.116,85.21,0.753,2,1-4-3
7166,T_03 T_07 T_39 T_15 T_33 T_14,1.898,77.14,1.812,1,1-5-4
7167,T_36 T_01 T_16 T_34 T_31 T_37,-0.114,58.9,1.735,4,1-8-0
7168,T_28 T_25 T_21 T_18 T_02,1.085,27.5,5.141,5,1-8-0
7169,T_11 T_03 T_19 T_21 T_24,0.039,93.8,3.122,3,0-7-1
7170,T_35 T_14 T_26 T_24 T_38,-0.484,65.33,3.888,3,0-8-4
7171,T_07 T_38 T_08 T_26 T_27,-0.247,97.05,4.437,2,0-8-4
7172,T_24 T_26 T_09 T_27 T_22,-0.168,58.01,3.232,4,1-7-0
7173,T_03 T_05 T_16 T_34 T_32 T_22,0.604,82.12,0.81,5,0-5-2
7174,T_02 T_17 T_13 T_19 T_23 T_28,1.375,81.31,0.484,2,0-1-2
7175,T_26 T_22 T_31 T_34 T_28 T_17,0.36,33.73,1.696,4,1-5-1
7176,T_15 T_02 T_10 T_22 T_33 T_06,1.187,96.4,2.34,5,0-5-4
7177,T_07 T_38 T_06 T_05 T_04,-0.965,2.19,0.977,1,1-8-1
7178,T_28 T_01 T_22 T_31 T_12 T_11,-0.415,76.87,3.772,4,1-7-4
7179,T_02 T_38 T_13 T_18 T_06,-0.724,96.56,6.466,3,0-8-1
7180,T_09 T_18 T_13 T_01 T_38 T_24,0.314,33.89,1.685,4,1-8-4
7181,T_09 T_03 T_06 T_20 T_01,-0.359,64.81,1.22,4,0-9-1
7182,T_37 T_04 T_20 T_24 T_28,0.73,56.22,3.702,4,0-9-4
7183,T_08 T_21 T_12 T_03 T_06 T_36,-0.931,76.15,0.049,5,0-8-0
7184,T_21 T_35 T_16 T_33 T_09 T_25,0.043,86.62,0.276,5,1-6-3
7185,T_05 T_34 T_15 T_00 T_23,0.687,60.3,3.737,1,1-5-2
7186,T_30 T_22 T_39 T_34 T_35,-2.065,81.59,2.634,1,0-3-0
7187,T_33 T_25 T_24 T_10 T_29 T_13,2.122,31.23,1.076,5,1-8-1
7188,T_19 T_08 T_11 T_37 T_24 T_09,-0.283,22.86,4.394,5,0-7-0
7189,T_33 T_00 T_03 T_25 T_27 T_21,-2.025,43.07,0.866,2,1-6-0
7190,T_19 T_28 T_11 T_39 T_33,0.158,67.77,2.009,4,1-7-2
7191,T_26 T_32 T_12 T_17 T_02 T_13,0.033,18.72,2.012,4,1-7-0
7192,T_26 T_32 T_12 T_05 T_27,-0.082,68.04,0.407,3,0-7-2
7193,T_22 T_18 T_36 T_06 T_35,0.991,39.41,0.671,5,0-8-0
7194,T_15 T_17 T_00 T_12 T_28,0.747,79.56,4.954,5,1-7-2
7195,T_34 T_19 T_24 T_14 T_36,0.298,3.68,0.405,1,1-8-3
7196,T_15 T_14 T_28 T_05 T_30 T_03,0.45,66.8,0.381,1,1-5-3
7197,T_36 T_27 T_09 T_21 T_02,-0.104,64.98,1.306,4,1-8-4
7198,T_05 T_09 T_29 T_31 T_25,1.775,94.09,0.193,4,1-8-3
7199,T_19 T_13 T_07 T_12 T_27 T_22,-1.479,71.34,4.5,5,0-7-4
7200,T_24 T_34 T_27 T_19 T_05,0.14,79.63,0.211,4,1-7-1
7201,T_20 T_18 T_29 T_16 T_08,0.065,90.46,1.917,5,0-9-1
7202,T_20 T_15 T_19 T_14 T_03,0.813,67.51,0.83,3,1-9-0
7203,T_10 T_04 T_29 T_11 T_05,-0.844,29.02,3.262,3,0-8-4
7204,T_15 T_39 T_31 T_37 T_35,-1.744,86.98,1.782,2,0-5-1
7205,T_21 T_39 T_07 T_19 T_34 T_14,0.157,74.76,0.983,1,0-3-2
7206,T_01 T_36 T_18 T_30 T_05 T_31,0.281,42.44,8.255,2,0-8-0
7207,T_10 T_18 T_13 T_21 T_27 T_15,1.49,71.05,0.137,3,0-8-4
7208,T_33 T_02 T_23 T_12 T_16,-1.27,86.77,1.724,4,0-7-2
7209,T_21 T_04 T_05 T_15 T_07 T_18,1.155,97.57,9.126,1,1-8-0
7210,T_32 T_17 T_35 T_00 T_31,2.367,95.24,2.349,1,1-5-2
7211,T_39 T_01 T_03 T_20 T_26,-0.378,32.53,2.692,2,1-9-4
7212,T_03 T_24 T_16 T_22 T_25,-1.291,42.17,0.065,1,1-7-0
7213,T_23 T_36 T_17 T_28 T_10,-0.407,10.95,0.043,3,1-8-4
7214,T_25 T_31 T_23 T_15 T_33,0.014,24.75,0.074,4,1-6-2
7215,T_14 T_03 T_15 T_38 T_32,0.564,88.24,9.589,2,0-8-2
7216,T_27 T_13 T_31 T_12 T_34 T_14,-0.591,36.08,7.777,4,0-7-2
7217,T_35 T_32 T_14 T_03 T_06,1.555,62.06,0.814,2,1-3-3
7218,T_07 T_09 T_18 T_25 T_13,-1.115,66.6,0.688,5,0-8-1
7219,T_17 T_18 T_07 T_31 T_25,-1.739,78.18,0.316,1,0-8-3
7220,T_17 T_28 T_34 T_24 T_11 T_21,1.107,18.28,0.798,5,0-7-4
7221,T_09 T_20 T_08 T_38 T_34,-2.275,30.48,0.925,1,0-9-4
7222,T_12 T_15 T_09 T_36 T_01 T_22,-0.204,44.83,2.759,5,0-8-3
7223,T_36 T_24 T_00 T_09 T_13 T_22,3.118,36.48,4.024,4,0-8-3
7224,T_05 T_07 T_23 T_22 T_09 T_38,-0.012,98.29,2.747,3,0-8-4
7225,T_18 T_24 T_38 T_36 T_05,-1.121,83.49,2.08,2,1-8-4
7226,T_09 T_27 T_39 T_13 T_28,-0.057,47.97,2.904,1,0-5-2
7227,T_35 T_00 T_36 T_01 T_08 T_10,-0.051,87.93,2.683,2,1-8-0
7228,T_10 T_09 T_26 T_14 T_20 T_33,0.161,34.77,1.292,3,0-9-0
7229,T_35 T_31 T_29 T_37 T_04,0.662,78.58,0.818,5,0-8-1
7230,T_21 T_13 T_09 T_39 T_16 T_20,-1.039,22.37,0.665,4,1-9-0
7231,T_24 T_11 T_38 T_17 T_20,1.688,77.23,2.275,2,0-9-3
7232,T_30 T_37 T_16 T_08 T_39 T_25,0.245,45.65,6.403,5,0-6-0
7233,T_36 T_23 T_08 T_37 T_35 T_06,0.727,10.75,1.74,1,0-8-2
7234,T_29 T_33 T_02 T_03 T_01 T_18,-0.628,27.33,4.873,2,0-8-4
7235,T_04 T_20 T_26 T_16 T_37,1.286,40.23,0.029,2,1-9-1
7236,T_32 T_35 T_05 T_33 T_25 T_15,-0.257,74.93,3.164,1,1-6-1
7237,T_31 T_17 T_07 T_34 T_06,0.278,7.3,3.843,3,0-5-1
7238,T_39 T_11 T_06 T_17 T_19 T_08,-0.933,65.95,1.994,5,0-7-2
7239,T_35 T_07 T_32 T_19 T_21,-0.997,71.6,5.438,2,1-3-4
7240,T_09 T_07 T_29 T_33 T_15,0.688,65.39,1.783,5,0-8-3
7241,T_23 T_12 T_33 T_31 T_16 T_13,-0.444,76.07,0.55,4,1-7-3
7242,T_21 T_07 T_33 T_11 T_26 T_36,-0.854,17.82,0.486,5,0-8-3
7243,T_34 T_14 T_10 T_39 T_25,-0.643,58.71,1.623,5,0-6-0
7244,T_20 T_19 T_37 T_15 T_01 T_34,0.699,94.11,4.739,1,0-9-0
7245,T_26 T_04 T_32 T_16 T_13,-0.629,61.08,0.15,5,1-5-2
7246,T_15 T_05 T_25 T_34 T_33 T_00,-0.118,61.13,1.855,3,1-6-4
7247,T_08 T_09 T_36 T_31 T_03 T_37,0.015,73.64,2.938,5,0-8-3
7248,T_05 T_12 T_01 T_09 T_24 T_25,-1.917,33.32,0.245,4,0-7-3
7249,T_13 T_20 T_04 T_10 T_08 T_25,-1.471,70.05,0.248,5,0-9-2
7250,T_27 T_21 T_30 T_37 T_03 T_38,0.336,91.62,0.912,1,0-8-2
7251,T_20 T_30 T_01 T_35 T_03 T_13,-0.737,1.09,0.64,4,0-9-1
7252,T_07 T_20 T_31 T_12 T_21,1.057,87.01,0.442,1,0-9-0
7253,T_29 T_03 T_17 T_08 T_12 T_04,0.967,21.86,0.443,3,0-8-0
7254,T_14 T_37 T_07 T_03 T_34 T_19,0.719,45.59,0.28,3,0-3-2
7255,T_26 T_35 T_32 T_28 T_21,1.82,85.23,1.888,1,0-4-2
7256,T_13 T_30 T_02 T_27 T_22 T_39,-0.083,82.39,2.33,3,1-5-2
7257,T_17 T_32 T_02 T_35 T_12,0.649,89.19,2.428,1,0-7-1
7258,T_18 T_09 T_39 T_05 T_25 T_21,-0.584,94.04,1.52,2,0-8-2
7259,T_05 T_36 T_25 T_04 T_34,2.452,44.72,6.111,5,1-8-3
7260,T_05 T_12 T_30 T_26 T_11 T_17,1.984,65.64,4.249,2,1-7-1
7261,T_14 T_34 T_12 T_08 T_19 T_07,0.012,39.05,6.323,3,1-7-2
7262,T_36 T_28 T_04 T_01 T_30,0.387,35.07,0.985,1,0-8-2
7263,T_12 T_02 T_19 T_14 T_01 T_35,1.359,43.16,4.204,1,0-7-3
7264,T_32 T_09 T_30 T_17 T_18 T_37,-0.147,74.31,2.878,1,1-8-1
7265,T_19 T_05 T_30 T_33 T_34 T_35,-0.657,50.14,0.831,1,1-3-4
7266,T_03 T_21 T_12 T_07 T_18 T_13,0.874,81.41,0.225,5,1-8-3
7267,T_00 T_01 T_07 T_24 T_02 T_17,0.078,74.52,2.295,4,1-7-4
7268,T_36 T_32 T_02 T_31 T_33,0.183,2.05,0.293,2,0-8-1
7269,T_21 T_27 T_11 T_16 T_00,-0.834,63.02,0.696,3,1-7-4
7270,T_06 T_15 T_21 T_33 T_03 T_04,-1.718,43.66,1.388,1,0-5-3
7271,T_14 T_09 T_16 T_06 T_34,0.236,45.66,2.278,2,0-5-1
7272,T_36 T_09 T_22 T_00 T_06,0.905,81.84,5.214,4,0-8-4
7273,T_29 T_04 T_33 T_10 T_00,-0.226,54.76,1.799,2,1-8-2
7274,T_14 T_15 T_33 T_19 T_26 T_39,1.436,88.56,2.226,3,0-5-3
7275,T_05 T_08 T_23 T_19 T_07 T_20,-0.704,71.28,0.742,1,0-9-0
7276,T_05 T_06 T_21 T_11 T_26 T_19,-1.055,55.28,2.325,3,0-7-1
7277,T_18 T_15 T_36 T_07 T_13,-0.067,75.45,1.152,1,1-8-3
7278,T_01 T_30 T_16 T_36 T_18 T_21,-0.083,3.83,3.889,4,0-8-0
7279,T_11 T_27 T_20 T_21 T_16 T_08,0.77,2.71,0.997,3,1-9-0
7280,T_05 T_27 T_35 T_00 T_20,-0.775,8.33,1.263,2,1-9-2
7281,T_20 T_06 T_18 T_17 T_21 T_26,1.368,43.76,1.133,4,0-9-1
7282,T_20 T_13 T_12 T_15 T_07,1.967,23.55,3.333,3,1-9-0
7283,T_31 T_25 T_08 T_10 T_24,-0.039,98.43,6.145,1,0-7-2
7284,T_26 T_20 T_12 T_33 T_01 T_27,1.25,54.23,0.793,4,0-9-1
7285,T_03 T_38 T_23 T_14 T_16,-1.056,66.24,1.289,1,0-8-2
7286,T_11 T_19 T_21 T_36 T_02 T_17,1.075,27.88,2.448,5,0-8-4
7287,T_17 T_06 T_23 T_30 T_32,1.047,32.18,4.515,2,0-3-1
7288,T_11 T_34 T_13 T_16 T_03,0.863,33.55,1.361,1,1-7-2
7289,T_10 T_26 T_13 T_02 T_25,-0.016,69.87,0.231,3,0-6-4
7290,T_22 T_28 T_03 T_14 T_10 T_29,-2.954,47.37,0.92,5,0-8-3
7291,T_13 T_19 T_17 T_27 T_31 T_35,-0.642,51.77,1.599,4,0-5-1
7292,T_02 T_37 T_33 T_16 T_30 T_38,-0.626,59.2,1.081,3,1-8-1
7293,T_07 T_32 T_17 T_01 T_27 T_20,-0.978,76.88,0.413,4,0-9-3
7294,T_22 T_11 T_18 T_03 T_39,0.122,9.04,0.075,5,0-8-1
7295,T_21 T_11 T_02 T_34 T_03,-0.419,77.69,2.326,3,0-7-1
7296,T_12 T_05 T_15 T_11 T_03,-0.825,56.32,9.85,1,0-7-2
7297,T_28 T_20 T_13 T_33 T_00 T_32,-1.059,66.91,5.032,3,1-9-4
7298,T_05 T_10 T_30 T_08 T_15 T_35,-0.716,32.76,2.299,2,1-5-3
7299,T_33 T_37 T_19 T_38 T_11 T_24,1.121,40.94,3.684,1,0-8-1
7300,T_29 T_20 T_13 T_31 T_26,-0.661,23.12,0.591,2,0-9-0
