question_id,situation,question,output
2319,"On Mountain terrain, a Ranger at level 8 (30 mana, 12 HP, 13 strength, 5 defense) attack the Guardian. The target is a level 4 Guardian with Shielded status on Plains (46 HP, 20 strength, 18 defense), adjacent to the attacker. ",Can the Ranger attack the Guardian?,"<analysis>A veteran unit (level 7+) fights through injuries that would cripple less experienced fighters (unit is level 8). Beyond that, wounded units (below 15 HP) take a performance hit on attack actions. Compounding this, the attacker's strength is lower than the target's defense, resulting in reduced damage. However, the magical barrier around the target deflects half the attack's force. On top of that, the target's defense exceeding 15 represents thick armor that blunts most attacks. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
4662,"On Mountain terrain, a Rogue at level 8 (36 mana, 87 HP, 17 strength, 9 defense) move to Plains.  The Rogue has Invisible status.",Can the Rogue move to Plains?,"<analysis>The Invisible status allows the unit to bypass terrain restrictions — stealth finds hidden paths. However, rogues gain a movement bonus when entering Plains — the terrain suits their abilities. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
288,"The Ranger is level 5, positioned on Mountain with 6 HP and 43 mana remaining (13 strength, 9 defense). The target is a level 1 Summoner on Ruins (41 HP, 16 strength, 8 defense), adjacent to the attacker. The unit tries to attack the Summoner. The Ranger has Frozen and Poisoned status.",Can the Ranger attack the Summoner?,"<analysis>Frozen units cannot attack. The condition prevents all voluntary actions. Furthermore, wounded units (below 15 HP) take a performance hit on attack actions. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
930,"Rogue (level 5) occupies Ruins terrain. Current stats: 46 mana, 36 HP, 9 strength, 16 defense. The target is a level 3 Summoner on Mountain (45 HP, 6 defense), adjacent to the caster. The Rogue wants to cast Frostbind on the Summoner. The Rogue has Poisoned status.",Can the Rogue cast Frostbind on the Summoner?,"<analysis>Excess mana (35+) supercharges Frostbind, amplifying its potency significantly (current mana: 46). Beyond that, rogues lack arcane training and cannot cast spells. However, frostbind cannot be cast on Ruins terrain — residual dark energy interferes with the casting. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
4435,"The Mage is level 5, positioned on Desert with 50 HP and 47 mana remaining (19 strength, 5 defense). The target is a level 4 Ranger with Burning status on Plains (14 HP, 7 defense), adjacent to the caster. The unit tries to cast Shadowstep on the Ranger. The Mage has Invisible status.",Can the Mage cast Shadowstep on the Ranger?,"<analysis>With mana above 45, Shadowstep is overcharged — dealing enhanced damage or stronger effects (current mana: 47). Furthermore, shadowstep cannot be cast on Desert terrain — extreme heat destabilizes the spell structure. At the same time, shadowstep is locked until level 7 — lower-level casters cannot use it (unit is level 5). The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
2876,"A Guardian of level 4 is on Mountain, carrying 8 mana with 34 HP left and combat stats of 18 strength and 5 defense. The target is a level 3 Ranger with Invisible status on Forest (14 HP, 4 defense), adjacent to the caster. The attempt: cast Drain on the Ranger. The Guardian has Burning status.",Can the Guardian cast Drain on the Ranger?,"<analysis>A Guardian has no capacity for magic and cannot cast any spell. However, casting Drain requires at least 20 mana. Insufficient mana blocks the spell (current mana: 8). Beyond that, casting Drain in Mountain fails because the thin air disrupts concentration. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
3428,"The Mage is level 8, positioned on Forest with 39 HP and 19 mana remaining (12 strength, 16 defense). The target is a level 8 Mage with Invisible status on Swamp (87 HP, 19 strength, 10 defense), distant from the attacker. The unit tries to attack the Mage. The Mage has Poisoned status.",Can the Mage attack the Mage?,"<analysis>Melee attacks require the attacker to be adjacent to the target. However, attacking from Forest terrain imposes an accuracy penalty due to unstable footing. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
4999,"A Guardian of level 7 is on Plains, carrying 22 mana with 47 HP left and combat stats of 10 strength and 20 defense. The attempt: move to Plains. The Guardian has Invisible status.",Can the Guardian move to Plains?,"<analysis>Invisibility reveals secret passages through otherwise restricted terrain. At the same time, the Plains environment is impassable for Guardian units. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
4081,"A Ranger of level 5 is on Ruins, carrying 5 mana with 72 HP left and combat stats of 6 strength and 15 defense. The target is a level 6 Healer on Desert (90 HP, 11 strength, 18 defense), distant from the attacker. The attempt: attack the Healer. The Ranger has Stunned status.",Can the Ranger attack the Healer?,"<analysis>Stunned units cannot attack. The condition prevents all voluntary actions. Meanwhile, as a ranged unit, the Ranger strikes from a distance. Furthermore, when the target's defense exceeds the attacker's strength, damage output drops significantly. On top of that, without adjacency, a melee attack has no chance of connecting. Beyond that, the target's defense exceeding 15 represents thick armor that blunts most attacks. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
4348,"On Ruins terrain, a Mage at level 2 (20 mana, 12 HP, 3 strength, 3 defense) attack the Healer. The target is a level 1 Healer on Ruins (94 HP, 16 strength, 12 defense), adjacent to the attacker. ",Can the Mage attack the Healer?,"<analysis>Low-level Mages (below 6) suffer a damage penalty on attacks (unit is level 2). Furthermore, units below 15 HP suffer penalties when attempting to attack — injuries impair performance. At the same time, when the target's defense exceeds the attacker's strength, damage output drops significantly. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
3978,"A Rogue of level 2 is on Swamp, carrying 8 mana with 64 HP left and combat stats of 17 strength and 10 defense. The target is a level 1 Striker with Stunned status on Ruins (12 HP, 11 defense), adjacent to the caster. The attempt: cast Shadowstep on the Striker. The Rogue has Frozen status.",Can the Rogue cast Shadowstep on the Striker?,"<analysis>The Frozen effect immobilizes the unit, blocking any attempt to cast spells. On top of that, a Rogue has no capacity for magic and cannot cast any spell. However, casting Shadowstep requires at least 20 mana. Insufficient mana blocks the spell (current mana: 8). Furthermore, only units of level 7 or higher can cast Shadowstep (unit is level 2). Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
942,"A level 9 Ranger stands on Swamp terrain with 19 mana and 38 HP (strength 16, defense 13). The target is a level 6 Healer with Burning and Frozen status on Desert (12 HP, 9 strength, 9 defense), distant from the attacker. Ranger attempts to attack the Healer. The Ranger has Frozen and Invisible status.",Can the Ranger attack the Healer?,"<analysis>Frozen units cannot attack. The condition prevents all voluntary actions. Compounding this, as a ranged unit, the Ranger strikes from a distance. Additionally, the Invisible attacker strikes from stealth, dealing double damage as a sneak attack. Invisible status is lost. Beyond that, without adjacency, a melee attack has no chance of connecting. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
2354,"A level 2 Ranger stands on Plains terrain with 31 mana and 57 HP (strength 9, defense 18). The target is a level 5 Paladin with Stunned status on Swamp (95 HP, 14 defense), distant from the caster. Ranger attempts to cast Barrier on the Paladin. The Ranger has Shielded status.",Can the Ranger cast Barrier on the Paladin?,"<analysis>Rangers lack arcane training and cannot cast spells. Meanwhile, casting Barrier requires the caster to be at least level 3 (unit is level 2). The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
4377,"On Desert terrain, a Rogue at level 10 (35 mana, 70 HP, 17 strength, 5 defense) cast Frostbind on the Mage. The target is a level 10 Mage on Swamp (68 HP, 10 defense), distant from the caster. ",Can the Rogue cast Frostbind on the Mage?,"<analysis>Master-level casters (level 8+) partially overcome environmental interference through sheer skill (unit is level 10). However, a Rogue has no capacity for magic and cannot cast any spell. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
5130,"A Ranger of level 9 is on Ruins, carrying 41 mana with 48 HP left and combat stats of 18 strength and 15 defense. The attempt: move to Ruins. The Ranger has Invisible and Stunned status.",Can the Ranger move to Ruins?,"<analysis>While Invisible, the unit slips through normally impassable terrain undetected. Meanwhile, the Stunned effect immobilizes the unit, blocking any attempt to move. On top of that, rangers cannot traverse Ruins terrain due to their physical limitations. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
1698,"A level 3 Striker stands on Ruins terrain with 13 mana and 63 HP (strength 14, defense 3). The target is a level 2 Summoner on Plains (45 HP, 19 strength, 15 defense), adjacent to the attacker. Striker attempts to attack the Summoner. The Striker has Burning and Invisible status.",Can the Striker attack the Summoner?,"<analysis>Striking while Invisible grants a devastating sneak attack bonus before the stealth breaks. On top of that, when the target's defense exceeds the attacker's strength, damage output drops significantly. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>BLOCKED</outcome>"
5180,"The Summoner is level 5, positioned on Ruins with 93 HP and 10 mana remaining (18 strength, 14 defense). The unit tries to move to Forest. The Summoner has Invisible status.",Can the Summoner move to Forest?,"<analysis>The Invisible status allows the unit to bypass terrain restrictions — stealth finds hidden paths. However, a Summoner finds Forest terrain incompatible with their movement capabilities. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
4490,"Striker (level 9) occupies Desert terrain. Current stats: 16 mana, 30 HP, 16 strength, 14 defense. The target is a level 10 Ranger with Frozen status on Plains (9 HP, 6 strength, 4 defense), distant from the attacker. The Striker wants to attack the Ranger. The Striker has Invisible status.",Can the Striker attack the Ranger?,"<analysis>A sneak attack from Invisible status doubles the damage output, but reveals the attacker. However, the attacker's strength exceeds the target's defense by more than 10, dealing devastating bonus damage. At the same time, without adjacency, a melee attack has no chance of connecting. Beyond that, attacking from Desert terrain imposes an accuracy penalty due to unstable footing. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
3729,"A Paladin of level 2 is on Swamp, carrying 5 mana with 21 HP left and combat stats of 7 strength and 6 defense. The target is a level 9 Rogue on Ruins (77 HP, 19 defense), adjacent to the caster. The attempt: cast Drain on the Rogue. The Paladin has Frozen status.",Can the Paladin cast Drain on the Rogue?,"<analysis>Frozen units cannot cast spells. The condition prevents all voluntary actions. Meanwhile, drain costs 20 mana to cast. Without enough mana, the spell fizzles (current mana: 5). Beyond that, high-defense targets (12+) resist Drain's life-stealing effect, reducing the amount siphoned. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
3393,"On Plains terrain, a Paladin at level 1 (35 mana, 48 HP, 6 strength, 16 defense) cast Lightning on the Summoner. The target is a level 7 Summoner on Forest (100 HP, 4 defense), adjacent to the caster.  The Paladin has Frozen status.",Can the Paladin cast Lightning on the Summoner?,"<analysis>Frozen units cannot cast spells. The condition prevents all voluntary actions. Beyond that, casting Lightning requires the caster to be at least level 7 (unit is level 1). The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
3710,"On Desert terrain, a Guardian at level 7 (22 mana, 58 HP, 19 strength, 15 defense) cast Heal on the Mage. The target is a level 5 Mage with Poisoned and Shielded status on Mountain (61 HP, 16 defense), adjacent to the caster. ",Can the Guardian cast Heal on the Mage?,"<analysis>Guardians lack arcane training and cannot cast spells. However, the Heal spell interacts with Poisoned status — the status is cleansed instead of the normal spell outcome. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
985,"A level 5 Rogue stands on Mountain terrain with 35 mana and 6 HP (strength 9, defense 19). The target is a level 6 Healer with Burning status on Plains (33 HP, 19 defense), adjacent to the caster. Rogue attempts to cast Drain on the Healer. The Rogue has Burning and Frozen status.",Can the Rogue cast Drain on the Healer?,"<analysis>The Frozen effect immobilizes the unit, blocking any attempt to cast spells. Furthermore, rogues lack arcane training and cannot cast spells. On top of that, the Mountain environment prevents Drain from forming: the thin air disrupts concentration. Beyond that, with HP below 15, the unit's cast effectiveness is significantly reduced. Meanwhile, high-defense targets (12+) resist Drain's life-stealing effect, reducing the amount siphoned. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
3732,"A Paladin of level 1 is on Mountain, carrying 6 mana with 12 HP left and combat stats of 19 strength and 19 defense. The target is a level 6 Healer with Poisoned and Stunned status on Desert (37 HP, 6 defense), adjacent to the caster. The attempt: cast Fireball on the Healer. The Paladin has Burning and Frozen status.",Can the Paladin cast Fireball on the Healer?,"<analysis>Frozen units cannot cast spells. The condition prevents all voluntary actions. At the same time, the Fireball spell demands 28 mana — anything less and the cast fails (current mana: 6). However, casting Fireball requires the caster to be at least level 6 (unit is level 1). Meanwhile, with HP below 15, the unit's cast effectiveness is significantly reduced. The attempt fails completely under these conditions.</analysis>
<outcome>ALLOWED</outcome>"
2638,"A level 3 Rogue stands on Desert terrain with 16 mana and 62 HP (strength 16, defense 11). The target is a level 7 Guardian with Poisoned status on Forest (40 HP, 10 strength, 11 defense), adjacent to the attacker. Rogue attempts to attack the Guardian.",Can the Rogue attack the Guardian?,"<analysis>Until reaching level 4, Rogue attacks are weakened significantly (unit is level 3). Beyond that, combat effectiveness drops when fighting on Desert terrain. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
2688,"On Desert terrain, a Paladin at level 5 (15 mana, 31 HP, 9 strength, 7 defense) cast Lightning on the Guardian. The target is a level 7 Guardian with Poisoned status on Forest (25 HP, 3 defense), adjacent to the caster. ",Can the Paladin cast Lightning on the Guardian?,"<analysis>Lightning costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 15). However, lightning cannot be cast on Desert terrain — extreme heat destabilizes the spell structure. Compounding this, lightning is locked until level 7 — lower-level casters cannot use it (unit is level 5). Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
5254,"Mage (level 6) occupies Mountain terrain. Current stats: 30 mana, 82 HP, 16 strength, 19 defense. The target is a level 2 Summoner on Forest (66 HP, 7 strength, 17 defense), distant from the attacker. The Mage wants to attack the Summoner.",Can the Mage attack the Summoner?,"<analysis>From the Mountain's height, even melee units can strike distant targets below. However, when the target's defense exceeds the attacker's strength, damage output drops significantly. On top of that, melee attacks require the attacker to be adjacent to the target. Beyond that, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
981,"A level 9 Summoner stands on Swamp terrain with 19 mana and 33 HP (strength 20, defense 3). The target is a level 6 Summoner on Mountain (100 HP, 14 defense), adjacent to the caster. Summoner attempts to cast Shadowstep on the Summoner.",Can the Summoner cast Shadowstep on the Summoner?,"<analysis>At level 8 and above, the caster's expertise mitigates terrain-based spell disruption (unit is level 9). Compounding this, the Shadowstep spell demands 20 mana — anything less and the cast fails (current mana: 19). The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
3075,"The Mage is level 10, positioned on Ruins with 89 HP and 47 mana remaining (4 strength, 17 defense). The unit tries to move to Forest. The Mage has Stunned status.",Can the Mage move to Forest?,"<analysis>The Stunned effect immobilizes the unit, blocking any attempt to move. Furthermore, mages cannot traverse Forest terrain due to their physical limitations. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
5011,"On Desert terrain, a Summoner at level 3 (32 mana, 49 HP, 13 strength, 18 defense) cast Lightning on the Rogue. The target is a level 7 Rogue with Invisible and Stunned status on Desert (71 HP, 7 defense), distant from the caster.  The Summoner has Burning status.",Can the Summoner cast Lightning on the Rogue?,"<analysis>Fire from the Burning condition fuels Lightning, allowing it to be cast despite the Desert terrain. Beyond that, casting Lightning in Desert fails because extreme heat destabilizes the spell structure. Meanwhile, lightning is locked until level 7 — lower-level casters cannot use it (unit is level 3). The action proceeds without restriction.</analysis>
<outcome>ALLOWED</outcome>"
4288,"On Desert terrain, a Summoner at level 1 (23 mana, 18 HP, 6 strength, 14 defense) attack the Guardian. The target is a level 1 Guardian with Invisible and Stunned status on Desert (40 HP, 4 strength, 13 defense), adjacent to the attacker.  The Summoner has Shielded status.",Can the Summoner attack the Guardian?,"<analysis>The attacker's strength is lower than the target's defense, resulting in reduced damage. However, combat effectiveness drops when fighting on Desert terrain. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
3824,"A level 10 Summoner stands on Swamp terrain with 39 mana and 70 HP (strength 8, defense 11). The target is a level 8 Ranger on Plains (60 HP, 8 defense), adjacent to the caster. Summoner attempts to cast Heal on the Ranger.",Can the Summoner cast Heal on the Ranger?,"<analysis>Master-level casters (level 8+) partially overcome environmental interference through sheer skill (unit is level 10). Furthermore, the combination of adjacency and 30+ mana creates a powerful healing surge (current mana: 39). Compounding this, the Swamp environment prevents Heal from forming: the waterlogged ground absorbs magical energy. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
3592,"A level 10 Mage stands on Swamp terrain with 14 mana and 14 HP (strength 19, defense 17). The target is a level 3 Rogue on Plains (32 HP, 20 defense), distant from the caster. Mage attempts to cast Rally on the Rogue. The Mage has Poisoned status.",Can the Mage cast Rally on the Rogue?,"<analysis>A caster of level 8 or higher has mastered their craft — terrain penalties on spellcasting are reduced (unit is level 10). Beyond that, rally costs 35 mana to cast. Without enough mana, the spell fizzles (current mana: 14). At the same time, wounded units (below 15 HP) take a performance hit on cast actions. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
4182,"The Ranger is level 4, positioned on Desert with 34 HP and 26 mana remaining (4 strength, 12 defense). The target is a level 10 Rogue with Frozen and Stunned status on Mountain (65 HP, 13 strength, 15 defense), adjacent to the attacker. The unit tries to attack the Rogue. The Ranger has Poisoned status.",Can the Ranger attack the Rogue?,"<analysis>When the target's defense exceeds the attacker's strength, damage output drops significantly. At the same time, combat effectiveness drops when fighting on Desert terrain. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
2860,"On Mountain terrain, a Ranger at level 9 (29 mana, 75 HP, 6 strength, 8 defense) attack the Paladin. The target is a level 6 Paladin on Forest (10 HP, 11 strength, 11 defense), adjacent to the attacker.  The Ranger has Frozen status.",Can the Ranger attack the Paladin?,"<analysis>While Frozen, performing any attack action is impossible. On top of that, the attacker's strength is lower than the target's defense, resulting in reduced damage. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
4371,"On Swamp terrain, a Striker at level 10 (28 mana, 55 HP, 7 strength, 7 defense) cast Heal on the Striker. The target is a level 2 Striker on Plains (100 HP, 3 defense), adjacent to the caster. ",Can the Striker cast Heal on the Striker?,"<analysis>A caster of level 8 or higher has mastered their craft — terrain penalties on spellcasting are reduced (unit is level 10). On top of that, strikers lack arcane training and cannot cast spells. Beyond that, heal cannot be cast on Swamp terrain — the waterlogged ground absorbs magical energy. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
1457,"Ranger (level 2) occupies Ruins terrain. Current stats: 48 mana, 85 HP, 8 strength, 7 defense. The target is a level 6 Mage on Desert (29 HP, 4 strength, 6 defense), distant from the attacker. The Ranger wants to attack the Mage. The Ranger has Poisoned status.",Can the Ranger attack the Mage?,"<analysis>As a ranged unit, the Ranger strikes from a distance. Beyond that, until reaching level 4, Ranger attacks are weakened significantly (unit is level 2). On top of that, without adjacency, a melee attack has no chance of connecting. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
1395,"On Forest terrain, a Ranger at level 6 (28 mana, 16 HP, 13 strength, 18 defense) attack the Healer. The target is a level 8 Healer with Poisoned status on Ruins (5 HP, 10 strength, 19 defense), adjacent to the attacker.  The Ranger has Burning status.",Can the Ranger attack the Healer?,"<analysis>Insufficient strength against the target's defenses means the attack deals partial damage. Beyond that, attacking from Forest terrain imposes an accuracy penalty due to unstable footing. At the same time, the target's defense exceeding 15 represents thick armor that blunts most attacks. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
264,"Ranger (level 4) occupies Mountain terrain. Current stats: 26 mana, 90 HP, 7 strength, 9 defense. The target is a level 10 Guardian with Shielded status on Swamp (44 HP, 3 strength, 14 defense), adjacent to the attacker. The Ranger wants to attack the Guardian.",Can the Ranger attack the Guardian?,"<analysis>Insufficient strength against the target's defenses means the attack deals partial damage. On top of that, the target's Shield absorbs a portion of the incoming damage, reducing it by half. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
4087,"Rogue (level 7) occupies Desert terrain. Current stats: 31 mana, 100 HP, 8 strength, 14 defense. The target is a level 5 Mage on Mountain (56 HP, 9 strength, 14 defense), adjacent to the attacker. The Rogue wants to attack the Mage. The Rogue has Frozen and Invisible status.",Can the Rogue attack the Mage?,"<analysis>While Frozen, performing any attack action is impossible. At the same time, a sneak attack from Invisible status doubles the damage output, but reveals the attacker. Additionally, insufficient strength against the target's defenses means the attack deals partial damage. Meanwhile, the Desert environment makes it harder to land attacks — accuracy suffers. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
929,"On Swamp terrain, a Healer at level 6 (6 mana, 40 HP, 20 strength, 17 defense) attack the Ranger. The target is a level 2 Ranger with Shielded and Stunned status on Forest (34 HP, 6 strength, 11 defense), adjacent to the attacker.  The Healer has Stunned status.",Can the Healer attack the Ranger?,"<analysis>While Stunned, performing any attack action is impossible. Furthermore, the magical barrier around the target deflects half the attack's force. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
3703,"The Guardian is level 6, positioned on Mountain with 39 HP and 31 mana remaining (3 strength, 15 defense). The target is a level 3 Summoner on Mountain (90 HP, 13 strength, 4 defense), adjacent to the attacker. The unit tries to attack the Summoner. The Guardian has Stunned status.",Can the Guardian attack the Summoner?,"<analysis>Stunned units cannot attack. The condition prevents all voluntary actions. Additionally, the attacker's strength is lower than the target's defense, resulting in reduced damage. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
5470,"Paladin (level 3) occupies Desert terrain. Current stats: 8 mana, 82 HP, 18 strength, 10 defense. The Paladin wants to move to Plains. The Paladin has Invisible status.",Can the Paladin move to Plains?,"<analysis>Invisibility reveals secret passages through otherwise restricted terrain. At the same time, a Paladin finds Plains terrain incompatible with their movement capabilities. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
2400,"A Striker of level 8 is on Mountain, carrying 41 mana with 57 HP left and combat stats of 7 strength and 20 defense. The target is a level 1 Summoner with Invisible status on Ruins (8 HP, 11 defense), adjacent to the caster. The attempt: cast Barrier on the Summoner.",Can the Striker cast Barrier on the Summoner?,"<analysis>Strikers lack arcane training and cannot cast spells. On top of that, casting Barrier in Mountain fails because the thin air disrupts concentration. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
2178,"On Ruins terrain, a Healer at level 9 (35 mana, 18 HP, 13 strength, 7 defense) attack the Guardian. The target is a level 6 Guardian on Swamp (8 HP, 3 strength, 19 defense), adjacent to the attacker.  The Healer has Poisoned and Stunned status.",Can the Healer attack the Guardian?,"<analysis>Veterans of level 7+ have learned to fight effectively even while wounded (unit is level 9). Furthermore, the Stunned effect immobilizes the unit, blocking any attempt to attack. Meanwhile, the attacker's strength is lower than the target's defense, resulting in reduced damage. Additionally, against a target with 15+ defense, even powerful attacks are partially deflected. The action succeeds in a modified form.</analysis>
<outcome>BLOCKED</outcome>"
3247,"A Mage of level 5 is on Ruins, carrying 6 mana with 5 HP left and combat stats of 7 strength and 9 defense. The target is a level 7 Summoner with Burning status on Mountain (70 HP, 18 defense), adjacent to the caster. The attempt: cast Shadowstep on the Summoner.",Can the Mage cast Shadowstep on the Summoner?,"<analysis>Casting Shadowstep requires at least 20 mana. Insufficient mana blocks the spell (current mana: 6). Compounding this, only units of level 7 or higher can cast Shadowstep (unit is level 5). On top of that, with HP below 15, the unit's cast effectiveness is significantly reduced. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
246,"A level 6 Ranger stands on Forest terrain with 21 mana and 54 HP (strength 7, defense 20). The target is a level 6 Summoner with Frozen and Shielded status on Mountain (39 HP, 3 strength, 20 defense), distant from the attacker. Ranger attempts to attack the Summoner. The Ranger has Poisoned and Shielded status.",Can the Ranger attack the Summoner?,"<analysis>As a ranged unit, the Ranger strikes from a distance. Additionally, the attacker's strength is lower than the target's defense, resulting in reduced damage. Furthermore, without adjacency, a melee attack has no chance of connecting. Compounding this, the magical barrier around the target deflects half the attack's force. At the same time, attacking from Forest terrain imposes an accuracy penalty due to unstable footing. Beyond that, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
1594,"On Desert terrain, a Guardian at level 9 (14 mana, 15 HP, 6 strength, 10 defense) attack the Rogue. The target is a level 8 Rogue with Frozen status on Swamp (80 HP, 7 strength, 5 defense), adjacent to the attacker. ",Can the Guardian attack the Rogue?,"<analysis>A veteran unit (level 7+) fights through injuries that would cripple less experienced fighters (unit is level 9). At the same time, combat effectiveness drops when fighting on Desert terrain. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
1758,"On Plains terrain, a Healer at level 9 (42 mana, 12 HP, 3 strength, 3 defense) cast Heal on the Healer. The target is a level 7 Healer on Mountain (83 HP, 11 defense), adjacent to the caster.  The Healer has Frozen status.",Can the Healer cast Heal on the Healer?,"<analysis>Master-level casters (level 8+) partially overcome environmental interference through sheer skill (unit is level 9). However, healing an adjacent ally with 30+ mana produces an empowered effect — restoring significantly more HP (current mana: 42). At the same time, while Frozen, performing any cast action is impossible. Furthermore, wounded units (below 15 HP) take a performance hit on cast actions. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
5348,"Guardian (level 1) occupies Mountain terrain. Current stats: 38 mana, 50 HP, 11 strength, 5 defense. The target is a level 10 Mage with Frozen status on Desert (87 HP, 7 strength, 10 defense), distant from the attacker. The Guardian wants to attack the Mage. The Guardian has Shielded status.",Can the Guardian attack the Mage?,"<analysis>The Mountain's elevation grants ranged attack capability to all units. On top of that, melee attacks require the attacker to be adjacent to the target. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
3392,"A level 10 Healer stands on Swamp terrain with 12 mana and 49 HP (strength 6, defense 8). The target is a level 3 Summoner with Shielded status on Forest (31 HP, 16 defense), adjacent to the caster. Healer attempts to cast Lightning on the Summoner. The Healer has Invisible and Shielded status.",Can the Healer cast Lightning on the Summoner?,"<analysis>Master-level casters (level 8+) partially overcome environmental interference through sheer skill (unit is level 10). Furthermore, lightning costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 12). While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
923,"The Rogue is level 2, positioned on Plains with 27 HP and 50 mana remaining (20 strength, 19 defense). The target is a level 4 Rogue on Plains (68 HP, 3 strength, 10 defense), adjacent to the attacker. The unit tries to attack the Rogue. The Rogue has Frozen status.",Can the Rogue attack the Rogue?,"<analysis>Frozen units cannot attack. The condition prevents all voluntary actions. On top of that, low-level Rogues (below 4) suffer a damage penalty on attacks (unit is level 2). Beyond that, with strength outpacing defense by 10+, the attack lands with overwhelming force. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
2827,"A Mage of level 10 is on Desert, carrying 37 mana with 93 HP left and combat stats of 10 strength and 14 defense. The target is a level 1 Healer with Burning and Invisible status on Swamp (27 HP, 3 strength, 10 defense), distant from the attacker. The attempt: attack the Healer. The Mage has Frozen and Poisoned status.",Can the Mage attack the Healer?,"<analysis>The Frozen effect immobilizes the unit, blocking any attempt to attack. However, the target is out of melee range — physical attacks cannot reach. Additionally, the Desert environment makes it harder to land attacks — accuracy suffers. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
268,"Healer (level 10) occupies Mountain terrain. Current stats: 15 mana, 63 HP, 17 strength, 12 defense. The target is a level 10 Guardian with Frozen status on Plains (10 HP, 14 strength, 17 defense), distant from the attacker. The Healer wants to attack the Guardian. The Healer has Shielded status.",Can the Healer attack the Guardian?,"<analysis>Elevation advantage on Mountain terrain turns all attacks into ranged attacks. Compounding this, melee attacks require the attacker to be adjacent to the target. At the same time, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The action proceeds without restriction.</analysis>
<outcome>ALLOWED</outcome>"
